Year,VN_CO2,World_CO2,CH4_VN,CH4_world,N2O_VN,N2O_World
1750,,9.351,,,,
1751,,9.351,,,,
1752,,9.354,,,,
1753,,9.354,,,,
1754,,9.358,,,,
1755,,9.362,,,,
1756,,10.006,,,,
1757,,10.01,,,,
1758,,10.014,,,,
1759,,10.017,,,,
1760,,10.017,,,,
1761,,10.974,,,,
1762,,10.977,,,,
1763,,10.981,,,,
1764,,10.985,,,,
1765,,10.988,,,,
1766,,12.26,,,,
1767,,12.263,,,,
1768,,12.267,,,,
1769,,12.271,,,,
1770,,12.274,,,,
1771,,13.612,,,,
1772,,13.615,,,,
1773,,13.619,,,,
1774,,13.623,,,,
1775,,13.626,,,,
1776,,15.037,,,,
1777,,15.041,,,,
1778,,15.044,,,,
1779,,15.048,,,,
1780,,15.055,,,,
1781,,16.843,,,,
1782,,16.847,,,,
1783,,16.854,,,,
1784,,16.858,,,,
1785,,16.869,,,,
1786,,19.152,,,,
1787,,19.159,,,,
1788,,19.163,,,,
1789,,19.17,,,,
1790,,19.177,,,,
1791,,21.42,,,,
1792,,21.896,,,,
1793,,21.914,,,,
1794,,21.881,,,,
1795,,21.892,,,,
1796,,22.951,,,,
1797,,24.094,,,,
1798,,25.095,,,,
1799,,26.428,,,,
1800,,28.092,,,,
1801,,27.96,,,,
1802,,36.783,,,,
1803,,31.488,,,,
1804,,34.31,,,,
1805,,33.419,,,,
1806,,35.046,,,,
1807,,36.874,,,,
1808,,35.064,,,,
1809,,35.09,,,,
1810,,37.38,,,,
1811,,39.582,,,,
1812,,41.007,,,,
1813,,41.22,,,,
1814,,42.129,,,,
1815,,43.488,,,,
1816,,47.665,,,,
1817,,49.431,,,,
1818,,49.644,,,,
1819,,49.948,,,,
1820,,50.688,,,,
1821,,51.435,,,,
1822,,53.465,,,,
1823,,56.55,,,,
1824,,58.525,,,,
1825,,60.756,,,,
1826,,61.42,,,,
1827,,65.915,,,,
1828,,66.637,,,,
1829,,66.395,,,,
1830,,89.123,,,,
1831,,84.528,,,,
1832,,85.111,,,,
1833,,86.807,,,,
1834,,88.486,,,,
1835,,90.446,,,,
1836,,104.776,,,,
1837,,104.691,,,,
1838,,108.044,,,,
1839,,111.613,,,,
1840,,118.93,,,,
1841,,122.619,,,,
1842,,129.504,,,,
1843,,132.853,,,,
1844,,141.423,,,,
1845,,155.211,,,,
1846,,157.794,,,,
1847,,172.402,,,,
1848,,173.816,,,,
1849,,183.511,,,,
1850,,196.896,,,,
1851,,198.805,,,,
1852,,207.551,,,,
1853,,217.209,,,,
1854,,255.139,,,,
1855,,260.166,,,,
1856,,277.292,,,,
1857,,279.889,,,,
1858,,284.171,,,,
1859,,301.312,,,,
1860,,330.641,,,,
1861,,347.735,,,,
1862,,354.057,,,,
1863,,377.859,,,,
1864,,407.09,,,,
1865,,432.307,,,,
1866,,445.97,,,,
1867,,477.815,,,,
1868,,490.753,,,,
1869,,521.131,,,,
1870,,532.537,,,,
1871,,566.143,,,,
1872,,626.372,,,,
1873,,665.419,,,,
1874,,622.997,,,,
1875,,675.799,,,,
1876,,685.553,,,,
1877,,699.099,,,,
1878,,704.379,,,,
1879,,754.867,,,,
1880,,853.705,,,,
1881,,882.405,,,,
1882,,931.922,,,,
1883,,991.032,,,,
1884,,1002.174,,,,
1885,,1009.671,,,,
